英汉翻译：
傲慢与偏见
段落： 2100

select * from word_dict2 where p>.8;
+----------------+-----------------+----------+
| doc_w          | title_w         | p        |
| voluntary      | 头              | 0.803429 |
| whispered      | 轻轻地          |        1 |
| wickedness     | 罪恶            | 0.827247 |
| wisely         | 流露出          | 0.850899 |
| withstood      | 老老实实        | 0.998851 |
+----------------+-----------------+----------+

分析：
   篇章对应明显，因为句子很短。
   其余160个有50个翻译正确，31%. 如下：
   
abide          | 行事            | 0.999999 |
| accidentally   | 偶然            |  0.81181 |
| acquiescence   | 默认            |  0.99988 |
| alike          | 那就是说        | 0.830058 |
| alter          | 变动            |        1 |
| army           | 军队            | 0.802327 |
| arranges       | 调遣            |        1 |
| barnet         | 巴纳特          |   0.8966 |
| benches        | 长凳            | 0.803886 |
| biting         | 咬              |        1 |
| blamed         | 不该            | 0.995621 |
| capacity       | 好学            | 0.834537 |
| declares       | 表示            |        1 |
| despises       | 瞧不起          |        1 |
| disclaimed     | 言过其实        | 0.999423 |
| duel           | 决斗            | 0.998954 |
| energetic      | 起劲            |        1 |
| finish         | 写好            |  0.87102 |
| foresaw        | 预料到          | 0.809554 |
| grandfather    | 祖父            | 0.849558 |
| hardship       | 事苦            | 0.845028 |
| harriet        | 海丽            | 0.999555 |
| heiress        | 继承人          |        1 |
| hesitated      | 迟疑            | 0.871961 |
| humiliation    | 耻辱            | 0.832414 |
| incredulous    | 多疑            | 0.920282 |
| laughingly     | 笑嘻嘻          |        1 |
| m              | M               | 0.993027 |
| march          | 三月            | 0.826595 |
| mindful        | 献殷勤          | 0.999681 |
| mingled        | 显出            |        1 |
| nursing        | 复元            | 0.990148 |
| obvious        | 显出            |        1 |
| propensity     | 倾向            |        1 |
| revenge        | 报复            | 0.849723 |
| sagacity       | 心里有数        | 0.857983 |
| separating     | 各自            |        1 |
| sermons        | 讲道            | 0.814956 |
| serving        | 效劳            |        1 |
| shops          | 店铺            |  0.99995 |
| studier        | 专家            | 0.993261 |
| sufferer       | 耐性            | 0.999908 |
| suspect        | 疑心            | 0.860008 |
| tend           | 用意何在        |        1 |
| traces         | 踪迹            |        1 |
| undiminished   | 未减            | 0.855069 |
| unexpectedly   | 出乎意料        | 0.805626 |
| whispered      | 轻轻地          |        1 |
| wickedness     | 罪恶            | 0.827247 |
| wisely         | 流露出          | 0.850899 |


